UNIT_ID,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,SHAPE_Length,SHAPE_Area
Siksiyou County,TIMS,2014-08,2014/08/12 00:00:00+00,1.0,13.0,13.167994,1414.68546874713,96249.8949796148
Siksiyou County,THOMPSON,2014-08,2014/08/14 00:00:00+00,1.0,17.0,16.552618,1651.74715277934,120951.59833089
Siksiyou County,KEMPER,2014-08,2014/08/29 00:00:00+00,1.0,185.0,173.46049,6335.11029680182,1269134.05539244
Siksiyou County,FRYING PAN,2014-08,2014/09/30 00:00:00+00,1.0,133284.2,133177.38,402078.2757369,967551675.533845
Kern County,CORCORAN,2014-08,2014/08/17 00:00:00+00,14.0,117.0,116.95872,4606.50265116517,719558.73366129
Kern County,CONWAY,2014-09,2014/09/22 00:00:00+00,10.0,47.0,46.143013,2736.93678707625,301756.018825015
Kern County,BODIE,2014-07,2014/07/23 00:00:00+00,1.0,93.0,93.046127,4821.17551039033,609924.759402133
Riverside County,BAILEY,2014-05,2014/05/31 00:00:00+00,10.0,24.4,23.447206,2880.97184978528,143383.770202723
Riverside County,SANDY VALLEY,2014-06,2014/06/21 00:00:00+00,14.0,25.5,21.242575,2940.91366032235,130821.527651832
San Diego County,JACUMBA,2014-05,2014/05/06 00:00:00+00,10.0,29.9,26.664448,3082.63987716462,152682.778081365
Riverside County,CONTOUR,2014-06,2014/06/06 00:00:00+00,9.0,11.0,9.4970608,1043.16663613857,55820.8355716914
Riverside County,MINE,2014-02,2014/02/17 00:00:00+00,9.0,21.6,19.093983,1534.40224718359,112080.015006526
Shasta County,MALT,2014-07,2014/07/28 00:00:00+00,1.0,1054.0,1062.864,16979.5913173174,7794792.40292188
Shasta County,COLEMAN,2014-07,2014/08/22 00:00:00+00,1.0,15233.0,15242.868,102552.256519029,111340659.181286
Yuba County,PFE,2014-07,2014/07/04 00:00:00+00,7.0,5.0,7.3049598,1012.58562639471,48645.7166409874
Yuba County,BREWER,2014-09,2014/09/12 00:00:00+00,14.0,16.0,16.12219,1962.16324659484,107864.347345391
Yuba County,APPLEGATE,2014-10,2014/10/08 00:00:00+00,14.0,459.0,458.97546,16562.0631597844,3081041.32344859
Yuba County,BREWER,2014-01,2014/01/22 00:00:00+00,10.0,120.0,104.18044,4869.15357961778,694951.622429348
Yuba County,REEDY,2014-01,2014/01/02 00:00:00+00,5.0,10.0,10.983029,1556.69850454663,74238.3022334414
Yuba County,DOGBAR,2014-09,2014/09/13 00:00:00+00,14.0,155.0,248.07878,10590.3346472673,1670491.93002143
San Diego County,TOMAHAWK- BASILONE COMPLEX,2014-05,,,,5365.311,41742.2643246505,31204574.8307492
San Diego County,PULGAS-BASILONE COMPLEX,2014-05,,,,15186.143,68247.4762551102,88248215.8634991
San Diego County,COMBAT-BASILONE COMPLEX,2014-05,,,,1457.1851,16196.2506809699,8486723.6337493
San Diego County,BANNER,2014-07,2014/07/06 00:00:00+00,14.0,217.0,177.78568,6065.64636705965,1027527.29193701
San Diego County,HIGHWAY,2014-05,2014/05/19 00:00:00+00,14.0,438.0,441.02835,9908.16490498299,2562324.48041005
San Diego County,BORDER_8,2014-08,2014/08/17 00:00:00+00,9.0,20.0,12.002891,1164.32066665314,68618.1363951412
San Diego County,WILDCAT_4,2014-07,2014/07/30 00:00:00+00,10.0,20.0,24.784548,5546.17681942425,142830.830977126
Humboldt County,BALD HILL 3,2014-09,2014/10/10 00:00:00+00,10.0,255.0,210.17712,7561.24529759219,1500796.44940493
San Diego County,COCOS,2014-05,2014/05/23 00:00:00+00,14.0,2000.0,1994.7872,36214.623961863,11537865.0482724
Sacramento County,TRACT 17,2014-09,2014/09/20 00:00:00+00,18.0,252.0,251.61722,17434.3960454736,1708662.22858285
Sacramento County,AFTON,2014-01,2014/01/23 00:00:00+00,14.0,17.0,17.013462,1667.96401921116,115500.564451107
Merced County,FREMONT,2013-05,2013/05/28 00:00:00+00,14.0,432.0,431.19864,7546.34540709768,2762632.45459329
Kern County,SCHOOL,2014-04,2014/05/02 00:00:00+00,9.0,224.0,223.77972,5970.82439186153,1350306.25061639
Ventura County,SANCTUARY,2013-09,2013/09/24 00:00:00+00,9.0,24.0,24.568115,1932.73434187426,146601.431357178
Tulare County,TURKEY,2012-06,2012/06/22 00:00:00+00,14.0,7.0,3.573257,635.377761310221,22088.1102314944
Imperial County,ALAMO,2011-08,2011/08/21 00:00:00+00,14.0,35.0,30.276777,6231.52523253832,175443.531116882
San Diego County,MIGUEL,2013-07,2013/07/29 00:00:00+00,14.0,44.0,44.054123,2742.41059249595,252351.664184924
